"","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Aguascalientes",0,0,0,0,26444.5,0,2208,432.45,198.183333333334,361.266666666667,411.516666666667,88.3666666666667,179.05
"Baja California",0,0,7921,0,0,0,1049.89166666667,54.5833333333333,94.3,0,162.291666666667,80.3166666667329,0
"Baja California Sur",0,0,0,0,0,0,6744,1294.5,0,0,0,0,0
"Campeche",0,0,0,0,0,0,0,2167.33333333333,51.9833333333333,37.4666666666998,0,0,0
"Chiapas",0,0,0,4896,0,8712,0,5532,96,192,268.858333333333,214.975000000033,48
"Chihuahua",0,48296.6833333333,36839.5,25948.3583333334,1925.18333333333,556.3,3407.66666666667,1355.40833333334,748.816666666667,75.0833333333333,185.666666666667,76.2288888888557,13.3666666666667
"Ciudad de Mexico",0,0,0,767.903055555556,24,1848,746.602222222222,479.707777777778,946.630555555556,0,1553.88611111111,0,0
"Coahuila",79010.05,63508.1666666667,0,30460.1583333334,36864,12763.6666666666,324.283333333333,5688.375,157,67.5333333333333,57,43.75,0
"Colima",0,0,0,0,0,0,49.25,598.333333333333,48.4166666666667,2212,380.083333333333,30.5833333333333,8.0833333333002
"Durango",0,0,623.733333333333,1.43333333333333,7701.10833333334,304.25,65.8,998.116666666667,888.691666666666,0,0,0,0
"Guanajuato",0,300,145,119.5,3722.20833333333,402,65.75,77.6651388888889,170.25,51.6290277777778,176.687777777778,438.024305555555,3635.67708333333
"Guerrero",0,346,0,0,16008,86.2333333333333,229.333333333333,281.75,159.825,388.883333333333,185.758333333333,83,58
"Hidalgo",0,0,33782,150.916666666667,20711.75,624.25,0,27,146.416666666667,244.166666666667,72.7333333333002,711.866666666667,0
"Jalisco",0,0,0,0,47494.8166666667,31608.0833333333,17286.7333333334,7646.66666666667,3152.0333333333,3784.25,3586,6239.5,0
"Mexico",0,63753.3561111111,55087.2713888889,840,1824,232.85125,715.483888888889,336,5135.94916666667,1164.90749999993,1656.91305555559,1970.81597222219,931.223611111078
"Michoacan",0,0,0,0,0,21818.8333333334,4224,3912,69.9166666666667,1120.45,0,56.7000000000662,54.4166666666667
"Morelos",0,0,0,181.5,0,984,2325.7,160.333333333333,95.45,2997.0833333334,5160.83333333333,652.708333333333,194.833333333333
"Nayarit",0,0,0,0,0,0,0,0,0,0,0,0,0
"Nuevo Leon",0,66072,144,0,24,96,648,300,72,1.40833333333333,0,0,72
"Oaxaca",0,0,622.5,0,16259,0,0,77,3194.66666666667,0,0,0,0
"Puebla",0,0,0,0,0,13106.9583333333,4009.98333333334,43.8583333333333,185.15,72.35,93,342.75,233.724999999966
"Queretaro",0,0,35763.0666666667,0,0,0,4067.65,5616,8453.55,1488,1578.91666666667,791.5,1010.0166666666
"Quintana Roo",0,4.28333333333333,2585.08333333333,0,57.6166666666667,2.28333333333333,0,33.7666666666667,0,2001.25,2119.68333333333,265.45,0
"San Luis Potosi",0,0,0,0,0,2788.83333333333,0,441.1,0,0,0,0,0
"Sinaloa",75.68,152.583333333333,94.4527777777778,62.6476388888889,66.5,63.0956944444444,44.41125,97.2611111111111,308.858333333333,118.566666666667,71.875,104.333333333333,114.683333333333
"Sonora",0,0,852,6662.75,9454,202,728.5,71,555.291666666667,66.3333333333996,74.187777777844,29.2355555555556,0
"Tabasco",0,0,0,0,43920,0,0,0,60.3416666666667,37.75,0,0,0
"Tamaulipas",34023.1743055555,168,0,12,2448,648,108,96,576,72,120,0,0
"Tlaxcala",0,0,0,0,0,3.5,5.33333333333333,0,1568.13333333333,0,0,0,0
"Veracruz",0,0,0,0,0,316.5,40.6666666666667,383.683333333334,49.9166666666667,0,0,0,0
"Yucatan",0,10395.9416666667,0,261.25,0,5958.66666666667,154.666666666667,34272,824,3014.75,64.25,719.041666666665,308.083333333333
"Zacatecas",0,0,0,0,0,0,0,226.083333333333,49.3583333333333,888,226.9166666666,374.275,208.166666666667
